"","Year","Province","Hospitals","Other Institutions","Physicians","Other Professionals","Drugs","Capital","Public Health","Administration","Other Health Spending","Total"
"1","1975","Newfoundland and Labrador","111.12175000000001","14.188000000000001","25.984999999999999","2.4492500000000001","3.3159999999999998","28.687249999999999","5.8717499999999996","2.4112499999999999","5.1527500000000002","199.18300000000002"
"2","1976","Newfoundland and Labrador","123.3355","21.226749999999999","29.922750000000001","2.9297499999999999","3.4485000000000001","22.457999999999998","6.6420000000000003","2.7145000000000001","6.319","218.99674999999999"
"3","1977","Newfoundland and Labrador","137.07075","27.116","31.747250000000001","3.2284999999999999","3.6850000000000001","15.081250000000001","5.4720000000000004","2.8105000000000002","7.2664999999999997","233.47775000000004"
"4","1978","Newfoundland and Labrador","156.22624999999999","30.837499999999999","33.186500000000002","4.1467499999999999","4.3185000000000002","11.96","6.7602500000000001","2.9772500000000002","7.8737500000000002","258.28674999999998"
"5","1979","Newfoundland and Labrador","181.15899999999999","37.234000000000002","36.86","4.59375","5.06325","12.016999999999999","8.3384999999999998","3.3245","8.6660000000000004","297.25599999999997"
"6","1980","Newfoundland and Labrador","206.35624999999999","41.060250000000003","43.725749999999998","5.1775000000000002","6.9187500000000002","10.077500000000001","9.5485000000000007","3.8302499999999999","10.14775","336.84249999999992"
"7","1981","Newfoundland and Labrador","241.79325","45.777000000000001","50.121250000000003","6.85175","8.8190000000000008","11.560499999999999","12.15775","4.4422499999999996","11.905250000000001","393.42800000000005"
"8","1982","Newfoundland and Labrador","274.76575000000003","56.338749999999997","58.756500000000003","8.8780000000000001","11.061","17.076499999999999","14.131500000000001","5.9757499999999997","14.922000000000001","461.90575000000007"
"9","1983","Newfoundland and Labrador","303.43574999999998","64.131500000000003","65.838999999999999","9.5084999999999997","13.32775","22.5685","14.61375","6.14975","16.16375","515.73824999999999"
"10","1984","Newfoundland and Labrador","313.39400000000001","65.715000000000003","73.202749999999995","9.3315000000000001","15.437250000000001","20.620999999999999","14.283250000000001","5.5262500000000001","17.119250000000001","534.63024999999993"
"11","1985","Newfoundland and Labrador","323.63099999999997","69.66825","77.375249999999994","9.4187499999999993","17.988250000000001","23.949000000000002","15.72625","6.2590000000000003","17.388249999999999","561.404"
"12","1986","Newfoundland and Labrador","349.60950000000003","76.876999999999995","83.5745","9.0572499999999998","21.440249999999999","28.158750000000001","16.665205097736319","7.1837499999999999","18.629794902263683","611.19600000000014"
"13","1987","Newfoundland and Labrador","371.60825","83.587000000000003","92.713499999999996","9.4162499999999998","24.731999999999999","30.69425","18.174770299928035","8.7927499999999998","20.264729700071967","659.98349999999982"
"14","1988","Newfoundland and Labrador","402.84275000000002","90.708500000000001","103.11","9.98475","28.174499999999998","12.423538254842468","19.935605986010785","9.5427499999999998","22.662144013989224","699.38453825484225"
"15","1989","Newfoundland and Labrador","427.24299999999999","101.9975","112.44","9.9697499999999994","31.152249999999999","10.917654830013079","21.165525698133266","10.771750000000001","25.435224301866736","751.09265483001298"
"16","1990","Newfoundland and Labrador","471.48824999999999","114.81925","123.5985","10.361000000000001","35.324750000000002","17.600012527693497","23.266476700150641","11.564","27.946023299849358","835.96826252769335"
"17","1991","Newfoundland and Labrador","492.30765801438406","119.42284198561596","126.87224999999999","8.6555","40.308750000000003","12.113988571271122","23.197101621213669","11.222","26.922898378786332","861.02298857127107"
"18","1992","Newfoundland and Labrador","511.04295481969558","109.36254518030447","130.54175000000001","7.1124999999999998","43.85575","19.068173821130049","23.098229977641896","12.253","24.691511522358105","881.02641532113023"
"19","1993","Newfoundland and Labrador","508.67613537277839","104.73242193290231","132.17824999999999","6.3360000000000003","47.765999999999998","20.240432488674884","25.664519169890657","11.576000000000001","23.680336340566679","880.85009530481284"
"20","1994","Newfoundland and Labrador","519.95531409695138","105.20502042180171","134.91569699999999","6.1987087500000007","52.097653749999999","19.881362786415337","28.500353333774655","11.83511275","24.042652250000003","902.63187513894309"
"21","1995","Newfoundland and Labrador","506.51099677178024","133.58474799231541","138.17783175","6.1353464999999998","54.502139749999998","20.126255227975996","30.803357977572212","11.476587500000001","24.156742250000001","925.47400571964386"
"22","1996","Newfoundland and Labrador","472.13847255197572","172.12431144344222","139.84853099999998","5.5381345","54.501982000000005","11.261660700731815","35.741129511380869","11.430444750000001","23.427924750000003","926.01259120753059"
"23","1997","Newfoundland and Labrador","449.85864153760735","215.42161698742666","150.2110715","5.5110837500000001","53.612493499999999","18.23781238294001","41.777830640634903","10.366512500000001","23.211845","968.20890779860895"
"24","1998","Newfoundland and Labrador","498.71623918749998","227.56336362268223","158.91336375000003","5.7835754999999995","56.052994750000003","18.100000000000001","51.436431432629057","11.00284475","22.687675499999997","1050.2564884928115"
"25","1999","Newfoundland and Labrador","521.4588077300001","228.39529695390996","167.66039879345277","5.697637206546891","60.004196750000006","114.02839337791819","54.634970935571573","15.112311500000001","23.452473000000001","1190.4444862473995"
"26","2000","Newfoundland and Labrador","551.47751138499996","244.61141765198693","178.46457501448424","5.5938739855156312","68.032920000000004","98.5","55.773538412967902","17.49529325","26.87778325","1246.8269129499547"
"27","2001","Newfoundland and Labrador","616.21416363499998","264.20714370032834","188.01370648639511","5.3691143006816695","77.884652999999986","72","61.259495589854886","19.913663750000001","28.823930499999999","1333.68587096226"
"28","2002","Newfoundland and Labrador","667.56923215999984","275.41796803717136","197.50473007879833","5.1719726835605568","86.87948750000001","66.3","73.684355413061724","21.03950275","29.715085750000007","1423.282334372592"
"29","2003","Newfoundland and Labrador","684.31824185750008","280.3441598925001","243.49938775000001","4.975956","96.049290000000013","52.5","77.271338304846353","19.040464249999996","40.069633000000003","1498.0684710548464"
