"","Year","Province","Total Expenditure"
"1",1975,"N.I.",264.492823064493
"2",1976,"N.I.",312.823110378289
"3",1977,"N.I.",362.882321146179
"4",1978,"N.I.",412.694877583669
"5",1979,"N.I.",473.336651600998
"6",1980,"N.I.",528.402140064376
"7",1981,"N.I.",621.26223997835
"8",1982,"N.I.",701.244423356186
"9",1983,"N.I.",773.732965799047
"10",1984,"N.I.",751.720002521363
"11",1985,"N.I.",785.814815356294
"12",1986,"N.I.",812.474629130361
"13",1987,"N.I.",881.597173567612
"14",1988,"N.I.",930.878687438477
"15",1989,"N.I.",991.609495233245
"16",1990,"N.I.",1096.44357257581
"17",1991,"N.I.",1153.23341477771
"18",1992,"N.I.",1197.3921446184
"19",1993,"N.I.",1209.07424839842
"20",1994,"N.I.",1249.26866074104
"21",1995,"N.I.",1269.4476026268
"22",1996,"N.I.",1253.35587722677
"23",1997,"N.I.",1305.35092339284
"24",1998,"N.I.",1433.38386697478
"25",1999,"N.I.",1583.32312731053
"26",2000,"N.I.",1687.24839754245
"27",2001,"N.I.",1802.92081342862
"28",2002,"N.I.",1926.1067551452
"29",2003,"N.I.",2061.93972935668
"30",2004,"N.I.",2138.39803168561
"31",2005,"N.I.",2237.10941154968
"32",2006,"N.I.",2346.68251135408
"33",2007,"N.I.",2561.79842805581
"34",2008,"N.I.",2738.23736235435
"35",2009,"N.I.",2999.32099568751
"36",2010,"N.I.",3308.7251880914
"37",2011,"N.I.",3503.0866088711
"38",2012,"N.I.",3648.66433502057
"39",2013,"N.I.",3615.7320902675
"40",2014,"N.I.",3655.16782957722
"41",2015,"N.I.",3733.23607015386
"42",2016,"N.I.",3763.02026497035
"43",2017,"N.I.",3886.96834601018
"44",1975,"P.E.I.",59.170240628019
"45",1976,"P.E.I.",62.8617353407835
"46",1977,"P.E.I.",68.7248243862133
"47",1978,"P.E.I.",79.4852278003119
"48",1979,"P.E.I.",96.5827106767346
"49",1980,"P.E.I.",122.314059933702
"50",1981,"P.E.I.",136.38372758454
"51",1982,"P.E.I.",152.367709173063
"52",1983,"P.E.I.",164.497262718325
"53",1984,"P.E.I.",171.042378293706
"54",1985,"P.E.I.",181.205779533406
"55",1986,"P.E.I.",187.573411297472
"56",1987,"P.E.I.",202.931932988412
"57",1988,"P.E.I.",219.531868912899
"58",1989,"P.E.I.",239.343126172216
"59",1990,"P.E.I.",256.213929989201
"60",1991,"P.E.I.",280.61448390205
"61",1992,"P.E.I.",294.962746147921
"62",1993,"P.E.I.",311.714922397196
"63",1994,"P.E.I.",313.672686191924
"64",1995,"P.E.I.",327.437216149355
"65",1996,"P.E.I.",339.052734423193
"66",1997,"P.E.I.",340.319250634557
"67",1998,"P.E.I.",361.403095378595
"68",1999,"P.E.I.",378.715666167715
"69",2000,"P.E.I.",401.350388199179
"70",2001,"P.E.I.",475.940087879516
"71",2002,"P.E.I.",504.856889727987
"72",2003,"P.E.I.",537.673679157033
"73",2004,"P.E.I.",533.492377833029
"74",2005,"P.E.I.",560.799601852135
"75",2006,"P.E.I.",601.101137101722
